Bin,Count
0 - 130.5483028720624,2
130.5483028720624 - 261.0966057441248,0
261.0966057441248 - 391.6449086161872,0
391.6449086161872 - 522.1932114882496,0
522.1932114882496 - 652.7415143603121,0
652.7415143603121 - 783.2898172323745,0
783.2898172323744 - 913.8381201044368,0
913.8381201044368 - 1044.3864229764993,0
1044.3864229764993 - 1174.9347258485616,0
1174.9347258485616 - 1305.483028720624,0
1305.4830287206241 - 1436.0313315926865,0
1436.0313315926865 - 1566.5796344647488,0
1566.5796344647488 - 1697.127937336811,0
1697.1279373368113 - 1827.6762402088737,0
1827.6762402088737 - 1958.224543080936,0
1958.2245430809362 - 2088.7728459529985,0
2088.7728459529985 - 2219.321148825061,0
2219.321148825061 - 2349.869451697123,0
2349.869451697123 - 2480.4177545691855,0
2480.417754569186 - 2610.9660574412483,0
2610.9660574412483 - 2741.5143603133106,0
2741.5143603133106 - 2872.062663185373,0
2872.062663185373 - 3002.6109660574352,0
3002.6109660574352 - 3133.1592689294976,0
3133.1592689294976 - 3263.70757180156,0
3263.7075718015603 - 3394.2558746736227,0
3394.2558746736227 - 3524.804177545685,0
3524.804177545685 - 3655.3524804177473,0
3655.3524804177473 - 3785.9007832898096,0
3785.9007832898096 - 3916.449086161872,0
3916.4490861618724 - 4046.9973890339347,0
4046.9973890339347 - 4177.545691905997,0
4177.545691905997 - 4308.09399477806,0
4308.09399477806 - 4438.642297650123,0
4438.642297650122 - 4569.1906005221845,0
4569.1906005221845 - 4699.738903394247,0
4699.738903394246 - 4830.287206266309,0
4830.287206266309 - 4960.835509138372,0
4960.835509138372 - 5091.383812010435,1
5091.383812010434 - 5221.9321148824965,0